Nimi,Aasta,Parameetreid,Korpus,Korpus_suurus
BERT,2018-10,340000000,3300000000,20
RoBERTa,2019-07,354000000,33000000000,100
GPT-2,2019-02,1500000000,10000000000,100
GPT-3,2020-06,1.75E+11,4.99E+11,200
DeBERTa,2021-10,1500000000,16000000000,100
MT-NLG,2021-10,5.30E+11,3.39E+11,200
GLaM,2021-12,1.20E+12,1.60E+12,500
LaMDA,2022-01,1.37E+11,1.68E+11,200
Chinchilla,2022-03,70000000000,1.40E+12,500
PaLM,2022-04,5.40E+11,7.68E+11,200
BLOOM,2022-06,1.75E+11,3.50E+11,200
LLaMa,2023-02,6.50E+10,1.40E+12,500
EstBERT,2020-11,340000000,1154000000,20
XLM-RoBERTa,2019-11,550000000,5.16E+11,200
