Mudel,Train_kadu,Val_kadu,Accuracy_lemma,Accuracy_vorm,Epohh
100K,4.916,4.925,0.359,0.606,epohh-1
100K,4.702,4.793,0.37,0.628,epohh-2
100K,4.734,4.741,0.375,0.6,epohh-3
100K,,,0.372,0.607,test
200K,4.603,4.583,0.398,0.626,epohh-1
200K,4.487,4.38,0.405,0.64,epohh-2
200K,4.429,4.431,0.408,0.629,epohh-3
200K,,,0.402,0.635,test
300K,4.534,4.45,0.402,0.636,epohh-1
300K,4.408,4.247,0.416,0.643,epohh-2
300K,4.36,4.305,0.417,0.633,epohh-3
300K,,,0.406,0.64,test
400K,4.48,4.392,0.399,0.639,epohh-1
400K,4.312,4.149,0.425,0.666,epohh-2
400K,4.279,4.223,0.431,0.652,epohh-3
400K,,,0.422,0.656,test
500K,4.323,4.251,0.414,0.65,epohh-1
500K,4.186,4.059,0.432,0.662,epohh-2
500K,4.163,4.099,0.437,0.65,epohh-3
500K,,,0.433,0.663,test
EstBERT,3.947,3.642,0.415,,epohh-1
EstBERT,3.498,3.406,0.415,,epohh-2
EstBERT,3.423,3.601,0.423,,epohh-3
EstBERT,,,0.442,,test
