Mudel,Train_kadu,Val_kadu,Precision,Recall,F1,Accuracy,Epohh
100K,1.393,1.062,0.663,0.642,0.644,0.642,epohh-1
100K,0.832,0.969,0.684,0.678,0.676,0.678,epohh-2
100K,0.561,0.934,0.708,0.706,0.707,0.706,epohh-3
100K,,,0.672,0.658,0.663,0.658,test
200K,1.304,0.978,0.715,0.681,0.687,0.681,epohh-1
200K,0.784,0.898,0.703,0.701,0.699,0.701,epohh-2
200K,0.563,0.892,0.715,0.706,0.709,0.706,epohh-3
200K,,,0.699,0.686,0.69,0.686,test
300K,1.339,0.96,0.72,0.678,0.685,0.678,epohh-1
300K,0.804,0.866,0.703,0.694,0.694,0.694,epohh-2
300K,0.591,0.857,0.728,0.712,0.716,0.712,epohh-3
300K,,,0.7,0.688,0.693,0.688,test
400K,1.32,0.938,0.736,0.701,0.706,0.701,epohh-1
400K,0.807,0.843,0.721,0.712,0.713,0.712,epohh-2
400K,0.612,0.831,0.747,0.722,0.728,0.722,epohh-3
400K,,,0.705,0.683,0.69,0.683,test
500K,1.338,0.942,0.711,0.691,0.694,0.691,epohh-1
500K,0.789,0.834,0.728,0.719,0.72,0.719,epohh-2
500K,0.589,0.822,0.738,0.73,0.732,0.73,epohh-3
500K,,,0.706,0.69,0.695,0.69,test
EstBERT,1.139,0.741,0.792,0.766,0.77,0.766,epohh-1
EstBERT,0.453,0.647,0.794,0.784,0.786,0.784,epohh-2
EstBERT,0.187,0.686,0.81,0.803,0.804,0.803,epohh-3
EstBERT,,,0.794,0.794,0.793,0.794,test
